Physician ID,Physician Name,Hospital ID,Hospital Name,Hospital ZIP,Hospital City
51019201,Rahul Naik,AC430,Saint Luke's Cancer Institute,603,AGUADILLA
61507774,ALBERT PARK,AC353,Joliet Oncology-Hematology Associates LTD,6040,MANCHESTER
82693360,ELLICE WONG,AC186,St. Bernards Cancer Center,45601,CHILLICOTHE
14600351,KANISHKA CHAKRABORTY,AC486,Genesis Cancer Care Institute,56401,BRAINERD
28190162,BRENDA SHOO,AC957,Houston Methodist Health System,20715,BOWIE
86265977,CHANGQING XUN,AC242,BayCare Health System,90710,HARBOR CITY
45232783,ANNA DI MARCO,AC112,Duly Health and Care,28043,FOREST CITY
52027738,Ghada Abusin,AC460,Peyton Manning Children's Hospital,86314,PRESCOTT VALLEY
43986276,MICHAEL BURDICK,AC553,Hiawatha Community Hospital,49047,DOWAGIAC
75003618,ERKUT BORAZANCI,AC676,HSHS Holy Family Hospital,34474,OCALA
66535865,Erlyn Smith,AC938,Heartland Regional Medical Center,28277,CHARLOTTE
99753218,Mylene Go,AC741,Jersey Community Hospital,64093,WARRENSBURG
44876288,SWATI SEHGAL,AC380,Mercy Hospital Springfield,6030,FARMINGTON
20060431,Li Li,AC312,Barton County Memorial Hospital,53022,GERMANTOWN
68373911,James McCloskey,AC918,Alton Memorial Outpatient Cancer And Infusion Center,82414,CODY
32809152,DEEPTI MURALEEDHARAN,AC648,Freeman Cornell-Beshore Cancer Institute,32714,ALTAMONTE SPRINGS
31107985,Amarendra Neppalli,AC432,Pike County Memorial Hospital,4330,AUGUSTA
88547153,BRIAN THOMAS,AC145,Harrisburg Medical Center,22025,DUMFRIES
50803039,ARDAMANPAL SHERGILL,AC761,Midnight Sun Oncology,68046,PAPILLION
37788318,JULIET APPIAH,AC874,The University Of Vermont Health Network,32459,SANTA ROSA BEACH
86899239,Swetha Panati,AC557,Desert Regional Comprehensive Cancer Center,49010,ALLEGAN
85585097,Nabila Bennani,AC717,Hematology Oncology Of The North Shore,44094,WILLOUGHBY
43903089,HUN LEE,AC902,CARTI,38104,MEMPHIS
48095262,Ivanoe Vega Dulanto,AC398,Orion Cancer Care,40456,MOUNT VERNON
99063234,MEIRAV BAR,AC170,SUNY Upstate University Hospital,55101,SAINT PAUL
99064699,Don Luong,AC395,Gundersen Health System,3909,YORK
21969034,VAIBHAV SAHAI,AC181,St Davids Healthcare System,94038,MOSS BEACH
15376543,Raj Rajendra,AC736,Eastern Connecticut Hematology And Oncology,8223,MARMORA
15826027,ESTEBAN GOMEZ,AC482,Bon Secours Health System Inc,7631,ENGLEWOOD
24834458,Eric Duncavage,AC277,Texas Oncology - Tyler,75235,DALLAS
45500321,XIN HAN,AC718,Enloe Medical Center,22405,FREDERICKSBURG
25961418,Paul Shami,AC165,Texas Oncology - San Antonio Medical Center,30341,ATLANTA
83150889,KEISUKE SHIRAI,AC524,Summa Health System,21801,SALISBURY
79835103,JOHN LEONARD,AC428,CHI St Vincent Medical Center,94520,CONCORD
58219155,Anderson Collier,AC731,Kona Community Hospital,2719,FAIRHAVEN
73177948,DEEPIKA DARBARI,AC972,The Center For Cancer And Blood Disorders,84107,SALT LAKE CITY
71515255,ZOANN DREYER,AC891,Michigan Healthcare Professionals,30117,CARROLLTON
90790490,JOSEPH RAMEK,AC678,Covenant Medical Center,11105,ASTORIA
92216931,REX WONG,AC438,Arkansas Childrens Hospital,97420,COOS BAY
83809563,M. Heather Gilbert,AC490,St Louis Cancer Care,19148,PHILADELPHIA
57986329,KWOKMING LO,AC808,Maui Memorial Medical Center,11385,RIDGEWOOD
95405502,Robert Cooper,AC260,Pacific Hematology Oncology Associates,59301,MILES CITY
29542991,Sadaf Taimur,AC702,Salinas Valley Medical Center Cancer Care,75042,GARLAND
62045878,SAHBA NADEEM,AC351,Texas Oncology - Presbyterian Cancer Center Dallas,20892,BETHESDA
