Physician ID,Physician Name,Specialty,Jan'23,Feb'23,Mar'23,Apr'23,May'23,Jun'23,Jan'232,Feb'232,Mar'232,Apr'232,May'232,Jun'232
51019201,Rahul Naik,SURGICAL ONCOLOGY,12,13,31,28,28,48,1,24,35,38,47,55
61507774,ALBERT PARK,RADIOLOGY ONCOLOGY,12,11,29,25,27,44,12,11,12,15,33,43
82693360,ELLICE WONG,RADIOLOGY ONCOLOGY,1,11,33,32,40,39,13,13,11,35,46,38
14600351,KANISHKA CHAKRABORTY,HEMATOLOGY/ONCOLOGY,3,19,16,19,31,30,25,10,37,40,37,44
28190162,BRENDA SHOO,RADIOLOGY ONCOLOGY,12,16,18,32,35,42,2,14,13,19,42,45
86265977,CHANGQING XUN,"ORTHOPEDIC SURG, MUSCULOSKELETAL ONCOL",14,16,22,32,35,31,21,3,10,23,50,45
45232783,ANNA DI MARCO,HEMATOLOGY,1,16,18,15,39,35,19,9,28,39,29,46
52027738,Ghada Abusin,GYNECOLOGICAL ONCOLOGY,6,24,26,16,32,41,19,1,40,27,37,41
41022295,Franklin Chen,SURGICAL ONCOLOGY,2,24,30,30,26,39,1,29,36,36,49,44
43986276,MICHAEL BURDICK,RADIOLOGY ONCOLOGY,9,16,17,23,40,39,8,21,34,34,31,38
51663689,ALEXANDRA DRAKAKI,PEDIATRIC HEMATOLOGY ONCOLOGY,15,19,35,15,40,32,12,20,10,37,44,43
75003618,ERKUT BORAZANCI,HEMATOLOGY,11,17,16,31,36,47,13,5,39,40,44,54
66535865,Erlyn Smith,HEMATOLOGY,9,19,15,18,37,48,14,4,32,18,38,46
99753218,Mylene Go,PEDIATRIC HEMATOLOGY ONCOLOGY,5,25,29,33,33,41,0,21,31,15,44,43
44876288,SWATI SEHGAL,-,12,18,23,22,39,35,5,19,36,37,49,47
20060431,Li Li,"PATHOLOGY, HEMATOLOGY",5,19,22,26,27,36,3,1,38,40,43,43
68373911,James McCloskey,GYNECOLOGICAL ONCOLOGY,3,21,14,21,29,36,17,9,10,25,38,49
32809152,DEEPTI MURALEEDHARAN,HEMATOLOGY,7,14,31,28,28,49,3,14,31,24,33,45
31107985,Amarendra Neppalli,ONCOLOGY MEDICAL,14,14,13,30,36,49,21,6,25,15,44,48
88547153,BRIAN THOMAS,SURGICAL ONCOLOGY,0,25,32,34,29,38,29,11,24,36,29,54
50803039,ARDAMANPAL SHERGILL,"ORTHOPEDIC SURG, MUSCULOSKELETAL ONCOL",15,25,18,19,40,49,24,17,28,18,34,49
41052200,AMY MACKENZIE,PEDIATRIC HEMATOLOGY ONCOLOGY,10,23,35,33,32,38,16,25,36,32,26,48
75334245,MARINA KREMYANSKAYA,PEDIATRIC HEMATOLOGY ONCOLOGY,13,22,13,26,27,42,14,3,13,33,35,40
37788318,JULIET APPIAH,GYNECOLOGICAL ONCOLOGY,4,14,27,31,30,36,0,22,30,27,39,51
41740084,SARAH MILGROM,ONCOLOGY MEDICAL,3,23,32,23,31,30,10,17,24,15,48,47
86899239,Swetha Panati,"ORTHOPEDIC SURG, MUSCULOSKELETAL ONCOL",8,18,32,25,40,32,16,15,25,24,47,46
85585097,Nabila Bennani,-,6,21,13,34,33,49,28,7,22,31,38,43
43903089,HUN LEE,SURGICAL ONCOLOGY,6,12,10,35,27,46,29,5,35,26,32,55
47357279,MICHELLE LOCH,ONCOLOGY MEDICAL,4,25,15,18,26,48,9,24,14,28,34,39
48095262,Ivanoe Vega Dulanto,"ORTHOPEDIC SURG, MUSCULOSKELETAL ONCOL",0,23,34,17,25,31,5,7,13,32,46,51
99063234,MEIRAV BAR,RADIOLOGY ONCOLOGY,14,11,17,33,30,48,15,14,39,29,35,51
54293959,BRENDA KATZ,"PATHOLOGY, HEMATOLOGY",9,17,16,25,27,40,9,13,22,36,39,49
91010586,Krishna Alluri,HEMATOLOGY,4,25,13,32,34,44,19,27,13,37,34,36
83591966,Monique Hartley-Brown,PEDIATRIC HEMATOLOGY ONCOLOGY,8,19,13,23,37,46,18,3,30,39,41,55
99064699,Don Luong,SURGICAL ONCOLOGY,1,18,17,15,32,35,4,26,28,34,39,39
21969034,VAIBHAV SAHAI,HEMATOLOGY/ONCOLOGY,14,19,16,15,30,31,20,7,14,22,38,42
15376543,Raj Rajendra,HEMATOLOGY,7,11,12,21,32,45,2,30,14,35,29,39
15826027,ESTEBAN GOMEZ,"ORTHOPEDIC SURG, MUSCULOSKELETAL ONCOL",8,24,14,27,38,39,23,17,24,26,27,49
24834458,Eric Duncavage,"PATHOLOGY, HEMATOLOGY",2,10,30,17,26,43,19,11,16,28,26,50
45500321,XIN HAN,"PATHOLOGY, HEMATOLOGY",13,24,22,21,25,30,5,11,34,23,39,40
31821368,ANNE VINOKUR,PEDIATRIC HEMATOLOGY ONCOLOGY,1,24,31,30,27,46,17,30,24,35,31,55
25961418,Paul Shami,"ORTHOPEDIC SURG, MUSCULOSKELETAL ONCOL",9,25,22,31,32,42,8,4,10,26,28,48
35878490,Alden Chiu,GYNECOLOGICAL ONCOLOGY,1,18,10,26,38,47,22,17,38,22,48,45
83150889,KEISUKE SHIRAI,GYNECOLOGICAL ONCOLOGY,12,14,15,24,25,34,24,20,31,16,30,50
79835103,JOHN LEONARD,HEMATOLOGY/ONCOLOGY,2,23,22,26,32,47,13,27,29,32,38,46
58219155,Anderson Collier,PEDIATRIC HEMATOLOGY ONCOLOGY,11,19,18,29,40,41,9,24,29,35,38,35
73177948,DEEPIKA DARBARI,HEMATOLOGY,6,23,35,16,27,33,20,16,39,32,26,54
71515255,ZOANN DREYER,PEDIATRIC HEMATOLOGY ONCOLOGY,14,14,28,26,37,47,30,17,20,16,43,48
90790490,JOSEPH RAMEK,ONCOLOGY MEDICAL,8,22,13,18,29,39,29,28,31,23,33,39
92216931,REX WONG,RADIOLOGY ONCOLOGY,15,21,19,31,28,47,24,2,27,36,39,35
83809563,M. Heather Gilbert,-,13,25,10,24,38,42,16,19,26,17,40,42
57986329,KWOKMING LO,RADIOLOGY ONCOLOGY,15,19,14,33,40,41,19,22,35,27,25,53
95405502,Robert Cooper,HEMATOLOGY,10,16,12,21,28,44,6,7,22,23,29,53
29542991,Sadaf Taimur,SURGICAL ONCOLOGY,1,12,10,20,28,46,23,8,16,40,30,50
62045878,SAHBA NADEEM,HEMATOLOGY/ONCOLOGY,9,24,31,19,36,39,28,10,17,34,29,48
30088881,KAREN HOOK,-,14,12,17,21,37,50,4,0,12,40,41,35
80089645,ROBERT LEMON,SURGICAL ONCOLOGY,15,17,18,19,31,39,20,14,23,35,25,51
60496959,Laura Raftery,GYNECOLOGICAL ONCOLOGY,5,22,18,30,35,49,4,8,21,22,37,40
59146250,SALAH ALMOHAMMED,"PATHOLOGY, HEMATOLOGY",2,22,27,27,37,44,7,29,22,34,49,48
95255163,GEORGE KANNARKAT,PEDIATRIC HEMATOLOGY ONCOLOGY,14,16,14,24,27,30,16,8,38,38,39,54
63220363,JOHN SMYLES,"PATHOLOGY, HEMATOLOGY",0,10,14,27,25,37,15,0,11,33,48,55
60579890,NAGA GAVINI,GYNECOLOGICAL ONCOLOGY,2,10,20,21,25,31,21,12,25,23,46,43
49886235,CESAR VIVANCO,HEMATOLOGY,1,10,28,30,31,38,6,24,31,35,31,52
99809851,MOATAZ EL-GHAMRY,-,12,20,16,19,36,33,15,30,17,22,25,37
67977354,MONA SANGHANI,GYNECOLOGICAL ONCOLOGY,12,19,15,16,39,36,30,6,22,18,29,45
80973214,OLWEN HAHN,HEMATOLOGY/ONCOLOGY,0,20,13,29,27,41,30,9,24,39,48,39
58457438,Sandra Bohling,RADIOLOGY ONCOLOGY,4,15,25,26,38,46,24,20,10,29,41,55
48241235,RICHARD HSI,"ORTHOPEDIC SURG, MUSCULOSKELETAL ONCOL",0,13,14,31,36,42,2,9,37,27,50,54
33026930,Adam Kotowski,GYNECOLOGICAL ONCOLOGY,7,19,15,33,40,47,24,7,35,20,42,52
45395463,EDWARD ORDORICA,-,10,11,33,35,29,46,21,22,26,18,45,40
77897172,RAJU RAO,RADIOLOGY ONCOLOGY,13,25,27,29,33,43,14,14,20,21,46,52
53731324,THOMAS HOFSTRA,PEDIATRIC HEMATOLOGY ONCOLOGY,6,14,21,17,28,35,25,28,28,34,37,51
46250528,SHARON LUIKART,GYNECOLOGICAL ONCOLOGY,9,19,25,20,33,34,12,12,14,23,27,35
89427222,PRADEEP SHARDA,GYNECOLOGICAL ONCOLOGY,2,15,35,33,36,43,11,8,38,39,34,41
46575720,RAED AL-RAJABI,RADIOLOGY ONCOLOGY,11,25,26,30,37,35,17,14,27,39,41,41
66824102,VASIA AHMED,"PATHOLOGY, HEMATOLOGY",12,25,10,28,35,48,14,28,19,35,49,52
83066970,NIRMALA NATHAN,RADIOLOGY ONCOLOGY,14,11,23,23,29,45,7,30,28,27,50,50
98985163,BARBI KAPLAN-FRENKEL,"PATHOLOGY, HEMATOLOGY",6,14,29,30,38,50,9,13,30,37,34,48
63905594,ALEXANDER WONG,HEMATOLOGY/ONCOLOGY,1,22,19,24,31,48,24,9,16,30,28,35
97431977,PIERRE NOEL,ONCOLOGY MEDICAL,8,14,13,18,38,38,9,9,24,18,37,52
67592359,Thomas Harris,HEMATOLOGY/ONCOLOGY,0,25,11,15,27,37,14,23,34,37,37,41
89448865,Jeffrey Matous,GYNECOLOGICAL ONCOLOGY,3,14,33,18,39,30,15,23,28,23,50,45
29058661,JUSTINIAN NGAIZA,GYNECOLOGICAL ONCOLOGY,8,15,20,35,40,49,24,15,35,30,43,35
86051773,WON CHANG,HEMATOLOGY,11,17,11,34,32,38,15,19,16,20,30,48
22525736,RUFUS MARK,-,10,11,32,33,26,44,10,21,16,19,41,54
99170393,DEBRA RICHARDSON,-,11,15,29,33,32,42,24,28,29,33,35,42
66614320,Luis Porrata,PEDIATRIC HEMATOLOGY ONCOLOGY,3,24,29,26,38,48,28,10,25,33,47,47
92632271,ARIEL HIRSCH,HEMATOLOGY/ONCOLOGY,0,20,24,21,25,47,13,28,31,28,34,46
58660805,LYLE LAWNICKI,PEDIATRIC HEMATOLOGY ONCOLOGY,14,15,10,21,31,36,0,0,29,33,28,48
87347347,JOHN HALBROOK,GYNECOLOGICAL ONCOLOGY,0,10,16,20,27,47,20,11,32,21,45,42
25702717,PRABHU RAJAPPA,"PATHOLOGY, HEMATOLOGY",12,13,22,32,26,39,5,12,12,37,27,35
75710706,LAIRD OLSON,"PATHOLOGY, HEMATOLOGY",6,15,32,15,35,31,16,7,36,37,28,55
69232501,SEEMA SANGHAVI,SURGICAL ONCOLOGY,7,20,17,27,32,44,5,26,25,33,39,52
24100339,VIRGINIA KLIMEK,"ORTHOPEDIC SURG, MUSCULOSKELETAL ONCOL",9,24,24,34,36,42,29,25,37,24,28,42
14131337,NANCY MILLS,SURGICAL ONCOLOGY,14,23,19,32,29,45,10,8,27,29,41,45
91886859,REBECCA JASLOW,SURGICAL ONCOLOGY,13,17,24,20,28,35,30,8,28,31,30,36
81259333,James Wade,HEMATOLOGY/ONCOLOGY,11,14,15,21,37,39,16,7,36,40,34,44
47105780,Michael Reale,HEMATOLOGY,10,16,31,26,29,36,13,9,16,28,47,35
55923264,John Gates,PEDIATRIC HEMATOLOGY ONCOLOGY,9,20,21,19,37,49,23,1,28,34,40,53
38824893,Ariel Anguiano,SURGICAL ONCOLOGY,4,11,12,27,29,47,28,18,33,21,43,44
38308110,H TEMPLE,PEDIATRIC HEMATOLOGY ONCOLOGY,11,12,26,16,27,34,2,19,27,31,26,45
17638823,RAKESH PATEL,RADIOLOGY ONCOLOGY,15,16,16,32,26,45,28,4,22,26,31,50
67714865,JENNIFER WHANGBO,HEMATOLOGY,4,15,15,35,35,32,9,21,14,19,34,43
19601261,NANCY MCKINNEY,"ORTHOPEDIC SURG, MUSCULOSKELETAL ONCOL",8,11,14,25,38,37,2,17,12,34,39,36
67452418,Thomas Niederman,PEDIATRIC HEMATOLOGY ONCOLOGY,8,17,13,31,34,43,20,24,15,22,32,46
78927183,TARIQ MAHMOOD,ONCOLOGY MEDICAL,1,19,12,29,30,38,11,12,18,26,38,53
33672024,Ivan Borrello,SURGICAL ONCOLOGY,12,17,18,32,35,42,12,15,28,31,40,55
56329682,Andrew Pierson,ONCOLOGY MEDICAL,13,23,32,19,29,38,18,3,13,39,43,38
13490018,Uday Dandamudi,ONCOLOGY MEDICAL,3,16,10,26,29,44,14,26,34,31,44,43
90941950,Carlos Robles,GYNECOLOGICAL ONCOLOGY,10,12,29,32,37,37,8,29,13,40,45,43
25065130,ALISON GRANN,-,4,18,31,31,31,40,0,10,10,27,32,51
25622919,RICHARD GEWANTER,PEDIATRIC HEMATOLOGY ONCOLOGY,12,20,31,24,27,30,15,30,14,15,44,37
70996206,James Foran,HEMATOLOGY/ONCOLOGY,9,13,31,32,29,48,20,15,25,20,35,45
12116238,Syed Hassan,PEDIATRIC HEMATOLOGY ONCOLOGY,3,20,35,30,28,45,11,5,28,19,28,43
48975087,Alvaro Restrepo,HEMATOLOGY/ONCOLOGY,14,19,20,28,25,43,4,21,17,38,39,39
41498664,MERAT KARBASIAN ESFAHANI,"PATHOLOGY, HEMATOLOGY",11,16,29,26,28,36,17,21,31,20,31,54
54749668,Alexander Zuhoski,"PATHOLOGY, HEMATOLOGY",1,21,13,27,38,50,8,2,22,26,47,46
43222051,JULIE GOLD,"ORTHOPEDIC SURG, MUSCULOSKELETAL ONCOL",4,11,23,33,38,36,3,8,26,24,37,54
42405197,Debra Prow,"PATHOLOGY, HEMATOLOGY",9,25,34,31,36,43,28,9,17,27,38,36
75366752,BYRON WILSON,HEMATOLOGY/ONCOLOGY,0,16,30,17,33,35,27,15,34,23,26,43
64813353,BRAD DAVIS,GYNECOLOGICAL ONCOLOGY,14,21,15,16,32,38,18,23,25,31,43,54
21155264,NAJAMUZ ZAMAN,"ORTHOPEDIC SURG, MUSCULOSKELETAL ONCOL",11,18,14,26,34,43,4,12,35,18,28,49
33277842,Dan Vogl,HEMATOLOGY,1,18,33,24,32,30,14,2,18,24,49,48
72047815,ALEXANDER LOSEV,HEMATOLOGY,15,11,21,18,30,49,15,29,10,20,31,42
61118791,Martin Langford,PEDIATRIC HEMATOLOGY ONCOLOGY,2,10,24,27,30,50,16,17,39,24,37,55
99257619,ASHLEY JENSEN,"PATHOLOGY, HEMATOLOGY",8,22,33,29,27,31,23,21,23,20,43,55
19959165,BRIGITTE GOMPERTS,SURGICAL ONCOLOGY,14,22,11,31,27,42,25,2,39,21,43,54
42944041,KIMBERLY SCHLESINGER,"PATHOLOGY, HEMATOLOGY",3,13,27,31,36,43,21,25,24,30,26,55
16794293,VI CHIU,-,5,13,22,21,36,50,14,26,27,27,34,43
45324284,Ronald Paquette,-,4,23,33,16,28,45,20,1,35,19,46,48
13387676,JAME ABRAHAM,"ORTHOPEDIC SURG, MUSCULOSKELETAL ONCOL",11,18,21,27,34,46,29,0,23,27,47,46
63316962,RAJUL SHAH,"PATHOLOGY, HEMATOLOGY",12,19,16,20,31,43,30,16,11,28,43,50
81764283,WEEI-CHIN LIN,"PATHOLOGY, HEMATOLOGY",13,16,35,17,37,44,30,1,33,24,35,44
23840361,Brian Cauff,SURGICAL ONCOLOGY,12,11,25,22,38,45,17,14,31,38,43,39
96665439,HEIDI MCKEAN,"PATHOLOGY, HEMATOLOGY",10,18,34,22,26,40,7,9,31,17,31,54
81573068,WILLIAM FLEMING,GYNECOLOGICAL ONCOLOGY,11,25,12,25,32,48,22,28,12,28,50,47
17239037,HYUNG KANG,PEDIATRIC HEMATOLOGY ONCOLOGY,8,10,20,32,35,36,10,28,26,40,28,51
46220514,MOSES RAJ,"PATHOLOGY, HEMATOLOGY",1,17,20,16,25,42,2,6,32,23,42,41
71001330,CLINTON MERRILL,GYNECOLOGICAL ONCOLOGY,10,18,18,31,36,37,28,12,13,35,30,50
