ZIP,Territory_Name,Region_Name
30002,"Atlanta, GA",South
30003,"Atlanta, GA",South
30004,"Atlanta, GA",South
30005,"Atlanta, GA",South
30006,"Atlanta, GA",South
30007,"Atlanta, GA",South
30008,"Atlanta, GA",South
30009,"Atlanta, GA",South
30010,"Atlanta, GA",South
30011,"Atlanta, GA",South
30012,"Atlanta, GA",South
30013,"Atlanta, GA",South
30014,"Atlanta, GA",South
30015,"Atlanta, GA",South
30016,"Atlanta, GA",South
30017,"Atlanta, GA",South
30018,"Atlanta, GA",South
30019,"Atlanta, GA",South
30021,"Atlanta, GA",South
30022,"Atlanta, GA",South
30023,"Atlanta, GA",South
30024,"Atlanta, GA",South
30025,"Atlanta, GA",South
30026,"Atlanta, GA",South
30028,"Atlanta, GA",South
30029,"Atlanta, GA",South
30030,"Atlanta, GA",South
30031,"Atlanta, GA",South
30032,"Atlanta, GA",South
30033,"Atlanta, GA",South
30034,"Atlanta, GA",South
30035,"Atlanta, GA",South
30036,"Atlanta, GA",South
30037,"Atlanta, GA",South
30038,"Atlanta, GA",South
30039,"Atlanta, GA",South
30040,"Atlanta, GA",South
30041,"Atlanta, GA",South
30042,"Atlanta, GA",South
30043,"Atlanta, GA",South
30044,"Atlanta, GA",South
30045,"Atlanta, GA",South
30046,"Atlanta, GA",South
30047,"Atlanta, GA",South
30048,"Atlanta, GA",South
30049,"Atlanta, GA",South
30052,"Atlanta, GA",South
30054,"Atlanta, GA",South
30055,"Atlanta, GA",South
30056,"Atlanta, GA",South
30058,"Atlanta, GA",South
30060,"Atlanta, GA",South
30061,"Atlanta, GA",South
30062,"Atlanta, GA",South
30063,"Atlanta, GA",South
30064,"Atlanta, GA",South
30065,"Atlanta, GA",South
30066,"Atlanta, GA",South
30067,"Atlanta, GA",South
30068,"Atlanta, GA",South
30069,"Atlanta, GA",South
30070,"Atlanta, GA",South
30071,"Atlanta, GA",South
30072,"Atlanta, GA",South
30074,"Atlanta, GA",South
30075,"Atlanta, GA",South
30076,"Atlanta, GA",South
30077,"Atlanta, GA",South
30078,"Atlanta, GA",South
30079,"Atlanta, GA",South
30080,"Atlanta, GA",South
30081,"Atlanta, GA",South
30082,"Atlanta, GA",South
30083,"Atlanta, GA",South
30084,"Atlanta, GA",South
30085,"Atlanta, GA",South
30086,"Atlanta, GA",South
30087,"Atlanta, GA",South
30088,"Atlanta, GA",South
30090,"Atlanta, GA",South
30091,"Atlanta, GA",South
30092,"Atlanta, GA",South
30093,"Atlanta, GA",South
30094,"Atlanta, GA",South
30095,"Atlanta, GA",South
30096,"Atlanta, GA",South
30097,"Atlanta, GA",South
30098,"Atlanta, GA",South
30099,"Atlanta, GA",South
30101,"Atlanta, GA",South
30102,"Atlanta, GA",South
30103,"Atlanta, GA",South
30104,"Atlanta, GA",South
30105,"Atlanta, GA",South
30106,"Atlanta, GA",South
30107,"Atlanta, GA",South
30108,"Atlanta, GA",South
30109,"Atlanta, GA",South
30110,"Atlanta, GA",South
30111,"Atlanta, GA",South
30112,"Atlanta, GA",South
30113,"Atlanta, GA",South
30114,"Atlanta, GA",South
30115,"Atlanta, GA",South
30116,"Atlanta, GA",South
